spark.executor.cores,spark.executor.memory,spark.executor.instances,hibench.default.map.parallelism,spark.memory.offHeap.enabled,MB.spark.memory.offHeap.size,spark.memory.fraction,spark.memory.storageFraction,Size.spark.shuffle.file.buffer,spark.speculation,MB.spark.reducer.maxSizeInFlight,spark.shuffle.sort.bypassMergeThreshold,MS.spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,MB.spark.broadcast.blockSize,spark.io.compression.codec,Size.spark.io.compression.3.blockSize,Size.spark.io.compression.1.blockSize,spark.kryo.referenceTracking,MB.spark.kryoserializer.buffer.max,Size.spark.kryoserializer.buffer,MB.spark.storage.memoryMapThreshold,Time.spark.network.timeout,Time.spark.locality.wait,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.serializerss,exec_time,App,App_id,input_size,,,,
14,26,44,48,0,675,0.6484375,0.6796875,126,0,59,451,365,1.9375,0.046875,82,1,118,39,1,1400,27,57,1379687,4,1,1,1,1,1,374273,pagerank,application_1551888616492_0202,huge,,,,
5,17,14,37,1,922,0.5234375,0.8046875,94,0,27,676,118,2.9375,0.796875,114,1,86,70,0,1784,59,394,1304687,7,1,0,0,1,1,337328,pagerank,application_1551888616492_0216,huge,,,,
11,36,34,16,0,427,0.7734375,0.5546875,31,1,90,226,613,4.9375,0.296875,51,2,23,7,1,1016,122,169,1354687,2,0,1,1,0,2,445862,pagerank,application_1551888616492_0231,huge,,,,
3,12,19,32,1,551,0.5859375,0.6171875,47,0,43,339,984,4.4375,0.921875,35,2,70,23,1,1592,106,113,1342187,5,0,1,1,0,1,304483,pagerank,application_1551888616492_0274,huge,,,,
10,31,39,11,0,56,0.8359375,0.8671875,110,1,106,789,489,2.4375,0.421875,98,3,7,86,0,824,43,338,1392187,1,1,0,0,1,2,432821,pagerank,application_1551888616492_0284,huge,,,,
6,22,9,21,1,303,0.9609375,0.7421875,78,1,74,114,242,1.4375,0.671875,66,2,39,55,1,1208,11,225,1317187,8,1,1,1,1,2,349005,pagerank,application_1551888616492_0309,huge,,,,
13,41,29,42,0,798,0.7109375,0.9921875,15,0,11,564,737,3.4375,0.171875,3,1,102,118,0,1976,74,450,1367187,3,0,0,0,0,1,399821,pagerank,application_1551888616492_0328,huge,,,,
8,27,17,23,0,574,0.58984375,0.94921875,44,0,89,557,404,3.65625,0.8828125,4,2,28,111,1,1196,44,362,1380468,7,1,1,1,0,2,346482,pagerank,application_1551888616492_0373,huge,,,,
14,8,37,44,1,79,0.83984375,0.69921875,107,1,26,107,899,1.65625,0.3828125,67,1,91,48,0,1964,107,137,1330468,2,0,0,0,1,1,279299,pagerank,application_1551888616492_0388,huge,,,,
4,37,27,33,0,327,0.96484375,0.82421875,75,1,58,782,651,2.65625,0.6328125,99,2,123,79,1,1580,75,475,1355468,9,0,1,1,1,1,521371,pagerank,application_1551888616492_0397,huge,,,,
11,18,47,12,1,822,0.71484375,0.57421875,12,0,121,332,156,4.65625,0.1328125,36,3,60,16,0,812,12,250,1305468,4,1,0,0,0,2,351385,pagerank,application_1551888616492_0426,huge,,,,
3,32,12,39,0,203,0.90234375,0.51171875,60,1,10,219,280,4.15625,0.5078125,52,3,107,32,0,1772,28,81,1392968,8,1,0,0,0,1,547268,pagerank,application_1551888616492_0442,huge,,,,
9,13,32,18,1,698,0.65234375,0.76171875,123,0,73,669,775,2.15625,0.0078125,115,2,44,95,1,1004,91,306,1342968,3,0,1,1,1,2,334150,pagerank,application_1551888616492_0479,huge,,,,
6,42,22,28,0,945,0.52734375,0.63671875,91,0,105,444,528,1.15625,0.7578125,83,3,12,64,0,620,123,194,1367968,5,0,0,0,1,2,463784,pagerank,application_1551888616492_0491,huge,,,,
