spark.executor.cores,spark.executor.memory,spark.executor.instances,hibench.default.map.parallelism,spark.memory.offHeap.enabled,MB.spark.memory.offHeap.size,spark.memory.fraction,spark.memory.storageFraction,Size.spark.shuffle.file.buffer,spark.speculation,MB.spark.reducer.maxSizeInFlight,spark.shuffle.sort.bypassMergeThreshold,MS.spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,MB.spark.broadcast.blockSize,spark.io.compression.codec,Size.spark.io.compression.3.blockSize,Size.spark.io.compression.1.blockSize,spark.kryo.referenceTracking,MB.spark.kryoserializer.buffer.max,Size.spark.kryoserializer.buffer,MB.spark.storage.memoryMapThreshold,Time.spark.network.timeout,Time.spark.locality.wait,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.serializerss,exec_time,App,App_id,input_size
5,42,159,10,0,945,0.52734375,0.63671875,91,0,105,444,327,1.15625,0.7578125,83,1,64,67,0,89,123,215,61,5,0,0,0,1,2,367138,tpch,application_1540980293743_2054,20
12,23,301,31,1,450,0.77734375,0.88671875,28,1,42,894,822,3.15625,0.2578125,20,2,127,4,1,29,60,440,301,1,1,1,1,0,1,265036,tpch,application_1540980293743_2054,20
4,6,105,13,0,265,0.93359375,0.60546875,115,0,65,725,265,3.90625,0.9453125,28,1,119,60,0,67,115,74,331,2,1,1,1,1,1,275622,tpch,application_1540980293743_2054,20
11,25,248,34,1,760,0.68359375,0.85546875,52,1,2,275,760,1.90625,0.4453125,91,3,56,123,1,127,52,299,91,6,0,0,0,0,2,278539,tpch,application_1540980293743_2054,20
7,15,177,45,0,512,0.55859375,0.73046875,20,1,34,950,17,2.90625,0.6953125,123,2,87,91,0,37,20,187,211,4,0,1,1,0,2,276480,tpch,application_1540980293743_2054,20
15,34,34,24,1,17,0.80859375,0.98046875,83,0,97,500,512,4.90625,0.1953125,60,3,24,28,1,97,83,412,451,8,1,0,0,1,1,326302,tpch,application_1540980293743_2054,20
6,11,212,29,0,883,0.62109375,0.91796875,99,1,18,163,883,4.40625,0.5703125,44,2,8,44,1,52,67,130,151,5,1,0,0,1,2,268075,tpch,application_1540980293743_2054,20
13,30,70,8,1,388,0.87109375,0.66796875,36,0,81,613,388,2.40625,0.0703125,107,1,71,107,0,112,4,355,391,9,0,1,1,0,1,317522,tpch,application_1540980293743_2054,20
2,20,141,18,0,141,0.99609375,0.79296875,4,0,113,388,636,1.40625,0.8203125,75,3,40,75,1,22,36,243,271,3,0,0,0,0,1,387602,tpch,application_1540980293743_2054,20
9,39,283,39,1,636,0.74609375,0.54296875,67,1,50,838,141,3.40625,0.3203125,12,2,103,12,0,82,99,468,31,7,1,1,1,1,2,310701,tpch,application_1540980293743_2054,20
2,14,79,35,0,296,0.73046875,0.80859375,111,1,85,360,419,4.78125,0.4140625,16,2,67,119,0,85,64,482,256,7,0,0,1,0,1,350681,tpch,application_1540980293743_2054,20
10,33,221,14,1,791,0.98046875,0.55859375,48,0,22,810,914,2.78125,0.9140625,79,1,4,56,1,25,127,257,496,3,1,1,0,1,2,273136,tpch,application_1540980293743_2054,20
6,5,292,25,0,543,0.85546875,0.93359375,16,0,54,135,172,1.78125,0.1640625,111,3,99,24,0,115,95,369,376,5,1,0,1,1,2,290841,tpch,application_1540980293743_2054,20
14,24,150,46,1,48,0.60546875,0.68359375,79,1,117,585,667,3.78125,0.6640625,48,1,36,87,1,55,32,144,136,1,0,1,0,0,1,322944,tpch,application_1540980293743_2054,20
8,19,257,9,0,914,0.79296875,0.74609375,127,0,6,922,791,3.28125,0.0390625,64,1,52,103,1,70,16,426,316,6,0,1,0,0,2,277620,tpch,application_1540980293743_2054,20
15,38,114,30,1,419,0.54296875,0.99609375,64,1,69,472,296,1.28125,0.5390625,127,2,115,40,0,10,79,201,76,2,1,0,1,1,1,264541,tpch,application_1540980293743_2054,20
4,10,43,41,0,172,0.66796875,0.62109375,32,1,101,697,543,2.28125,0.2890625,95,2,20,8,1,100,111,313,196,9,1,1,0,1,1,306684,tpch,application_1540980293743_2054,20
12,29,185,20,1,667,0.91796875,0.87109375,95,0,38,247,48,4.28125,0.7890625,32,3,83,71,0,40,48,88,436,4,0,0,1,0,2,263158,tpch,application_1540980293743_2054,20
5,36,61,49,0,605,0.76171875,0.65234375,56,1,77,528,605,4.53125,0.4765625,24,2,91,127,1,18,103,398,466,5,0,0,1,1,2,361479,tpch,application_1540980293743_2054,20
